P22,P2002,P3,P2,P1304,P2004,P28,P803,P1303,P27,P1301,P25,P23,P802,P0A,P2001,P801,P1,CAPITAL,CCAA,P14R,P26,P4,P804,P19,TAMUNI,P1302,ESTUDIOS,P2003
2,5,-4,-4,0,8,2,-3,0,1,0,2,78,-3,1,8,-3,-3,1,16,2,1,3,-4,5,5,10,2,3
2,6,-3,-1,3,9,1,-3,5,1,2,1,41,-3,1,9,-4,-2,1,16,11,6,3,-4,4,5,4,3,3
2,5,-3,-1,5,7,1,-4,5,1,0,7,59,-3,1,9,-3,-2,1,16,2,2,3,-3,1,5,6,3,2
2,5,-3,-1,0,9,1,-4,9,1,0,1,37,-4,1,8,-5,-2,1,16,3,2,3,-4,4,5,0,6,3
1,9,-5,-4,2,10,1,-5,0,2,0,1,32,-5,1,10,-5,-4,1,16,5,2,5,-5,4,5,0,6,6
1,5,-3,-4,0,9,1,-3,0,1,0,1,40,-2,1,10,-4,-4,1,16,2,2,2,-2,5,5,10,6,1
2,4,-3,-1,0,9,1,-2,9,1,0,4,28,-2,1,9,-5,-2,1,16,3,4,3,-5,3,5,10,6,3
1,3,-5,-4,0,9,1,-3,0,1,0,1,51,-3,1,10,-5,-4,1,16,2,2,5,-5,1,5,10,6,2
2,6,-3,-3,5,7,1,-4,0,1,5,7,73,-3,1,8,-3,-3,1,16,97,2,3,-3,5,5,5,2,1
2,7,-3,-2,0,9,1,-3,6,1,0,1,45,-3,1,10,-5,-1,1,16,5,5,3,-4,1,5,5,6,3
2,5,-4,-1,0,8,1,-3,0,1,0,1,40,-5,1,10,-5,-1,3,16,5,1,4,-5,1,1,0,6,4
2,5,-4,-1,0,8,1,-4,5,1,0,2,72,-3,1,9,-4,-2,3,16,2,2,4,-4,3,1,6,6,4
1,6,-4,-1,0,10,2,-4,0,1,0,1,46,-4,1,10,-4,-4,3,16,5,1,2,-4,5,1,0,2,6
1,5,-3,-2,3,8,1,-3,5,1,0,1,44,-3,1,9,-5,-3,3,16,95,2,3,-4,5,1,5,5,4
1,5,-4,-3,5,4,1,-5,4,1,5,1,63,-4,1,4,-4,-4,3,16,2,2,4,-4,4,1,5,5,3
1,6,-4,-2,2,5,2,-3,2,1,1,1,40,-4,1,7,-4,-3,1,16,97,2,3,-4,5,5,1,6,2
2,6,-4,-2,0,8,1,-3,6,1,0,1,42,-4,1,10,-4,-2,1,16,12,2,3,-4,3,5,0,6,4
2,1,-4,-2,3,8,1,-3,5,1,0,5,30,-4,1,8,-4,-1,1,16,11,2,3,-3,1,5,5,6,1
1,1,-3,-4,2,6,1,-3,2,1,2,1,45,-3,1,10,-3,-3,1,16,11,2,3,-3,5,5,2,2,1
1,3,-4,-3,4,6,1,-3,1,1,8,1,39,-3,1,8,-3,-3,1,16,1,2,3,-3,5,5,4,2,3
